Stats File,reachability_analysis_stats_java_basic-forward,reachability_analysis_stats_java_fuzzer-enhanced,reachability_analysis_stats_java_introspector,reachability_analysis_stats_joern_line-reachableBy,reachability_analysis_stats_joern_backward
ActivemqOneCPVEight,X,O,O,X,O
ActivemqOneCPVEleven,X,O,O,X,O
ActivemqOneCPVFive,X,O,O,X,O
ActivemqOneCPVFour,X,O,O,X,O
ActivemqOneCPVNine,X,O,O,X,O
ActivemqOneCPVOne,X,O,O,X,O
ActivemqOneCPVSeven,X,O,O,X,O
ActivemqOneCPVSix,X,O,O,X,O
ActivemqOneCPVTen,X,O,O,X,O
ActivemqOneCPVThree,X,O,O,X,O
ActivemqOneCPVTwelve,X,O,O,X,O
ActivemqOneCPVTwo,X,O,O,X,O
AerospikeOneCPVOne,X,X,X,X,X
BatikOneCPVOne,X,O,O,X,X
BCELOneCPVOne,X,X,X,X,X
BeanUtilsOneCPVOne,O,O,X,X,O
CXFOneCPVOne,X,X,X,X,O
CXFThreeCPVOne,X,X,O,X,X
CXFTwoCPVOne,X,X,X,X,O
FuzzyOneCPVOne,O,O,O,X,O
GeonetworkOneCPVOne,O,O,O,X,X
HtmlunitOneCPVOne,X,O,O,X,X
ImagingOneCPVOne,X,X,X,X,X
ImagingOneCPVThree,X,X,X,X,X
ImagingOneCPVTwo,X,X,X,X,X
ImagingTwoCPVOne,X,X,X,X,X
JacksonDatabindOneCPVOne,X,X,O,X,X
MailApiHarnessOneCPVOne,X,X,O,X,X
JenkinsFiveCPVOne,X,X,O,X,X
JenkinsFiveCPVTwo,X,X,O,X,X
JenkinsFourCPVOne,X,O,X,X,X
JenkinsFourCPVTwo,X,X,X,X,X
JenkinsOneCPVOne,X,O,O,X,X
JenkinsOneCPVTwo,X,O,O,X,X
JenkinsThreeCPVEight,O,O,O,X,X
JenkinsThreeCPVEleven,O,O,O,X,X
JenkinsThreeCPVFive,O,O,O,X,X
JenkinsThreeCPVFour,O,O,O,X,X
JenkinsThreeCPVNine,O,O,O,X,X
JenkinsThreeCPVOne,O,O,O,X,O
JenkinsThreeCPVSeven,X,X,X,X,X
JenkinsThreeCPVSix,X,X,X,X,X
JenkinsThreeCPVTen,O,O,O,X,X
JenkinsThreeCPVThree,O,O,X,X,O
JenkinsThreeCPVTwo,O,O,O,X,O
JenkinsTwoCPVOne,O,O,O,X,X
KylinOneCPVOne,O,O,O,O,X
OlingoOneCPVOne,O,O,X,O,X
OripaOneCPVOne,X,X,X,X,X
Pac4jOneCPVOne,O,O,X,X,O
Rdf4jOneCPVOne,O,O,O,X,O
Rdf4jOneCPVThree,O,O,O,X,O
Rdf4jOneCPVTwo,O,O,O,X,O
TikaOneCPVOne,X,X,X,X,O
TikaTwoCPVOne,X,O,O,X,O
WidocoOneCPVOne,O,O,O,X,O
ZTZIPOneCPVOne,X,O,O,X,X
